draft_pick,player,allstar_team
1,Kevin Durant,Team LeBron
2,Stephen Curry,Team Giannis
3,Kyrie Irving,Team LeBron
4,Joel Embiid,Team Giannis
5,Kawhi Leonard,Team LeBron
6,Paul George,Team Giannis
7,James Harden,Team LeBron
8,Kemba Walker,Team Giannis
9,Khris Middleton,Team Giannis
10,Anthony Davis,Team LeBron
11,Nikola Jokic,Team Giannis
12,Klay Thompson,Team LeBron
13,Ben Simmons,Team Giannis
14,Damian Lillard,Team LeBron
15,Blake Griffin,Team Giannis
16,Russell Westbrook,Team LeBron
17,Dâ€™Angelo Russell,Team Giannis
18,LaMarcus Aldridge,Team LeBron
19,Nikola Vucevic,Team Giannis
20,Karl-Anthony Towns,Team LeBron
21,Kyle Lowry,Team Giannis
22,Bradley Beal,Team LeBron
23,Dwyane Wade,Team LeBron
24,Dirk Nowitzki,Team Giannis
